PersonID,ResearchInterestIDs
0,"['researchInterest573', 'researchInterest2164', 'researchInterest2574', 'researchInterest106', 'researchInterest1317']"
1,"['researchInterest503', 'researchInterest1176', 'researchInterest2032']"
2,"['researchInterest341', 'researchInterest1040', 'researchInterest14']"
3,"['researchInterest386', 'researchInterest223', 'researchInterest412', 'researchInterest777']"
4,"['researchInterest2293', 'researchInterest1749']"
5,"['researchInterest1711', 'researchInterest2715', 'researchInterest2517']"
6,"['researchInterest795', 'researchInterest1631']"
7,"['researchInterest1549', 'researchInterest1562']"
8,"['researchInterest2066', 'researchInterest1852', 'researchInterest1302']"
9,"['researchInterest765', 'researchInterest2766', 'researchInterest2421']"
10,"['researchInterest429', 'researchInterest1962', 'researchInterest1547', 'researchInterest474', 'researchInterest1395']"
11,"['researchInterest248', 'researchInterest1341', 'researchInterest491']"
12,['researchInterest955']
13,['researchInterest1427']
14,"['researchInterest333', 'researchInterest2634', 'researchInterest1883']"
15,"['researchInterest167', 'researchInterest2574', 'researchInterest828', 'researchInterest2780', 'researchInterest1693', 'researchInterest690', 'researchInterest927', 'researchInterest1302']"
16,"['researchInterest1822', 'researchInterest2488', 'researchInterest338', 'researchInterest650']"
17,"['researchInterest864', 'researchInterest2574', 'researchInterest1868']"
18,"['researchInterest835', 'researchInterest2804']"
19,"['researchInterest1822', 'researchInterest1052']"
20,"['researchInterest1649', 'researchInterest1664', 'researchInterest2826']"
21,"['researchInterest470', 'researchInterest2574', 'researchInterest1024']"
22,"['researchInterest675', 'researchInterest1746']"
23,"['researchInterest827', 'researchInterest1320']"
24,['researchInterest140']
25,"['researchInterest855', 'researchInterest707', 'researchInterest395', 'researchInterest2000', 'researchInterest2574', 'researchInterest1581', 'researchInterest547', 'researchInterest332']"
26,"['researchInterest46', 'researchInterest626', 'researchInterest1663', 'researchInterest596']"
27,"['researchInterest1501', 'researchInterest782', 'researchInterest50', 'researchInterest2647', 'researchInterest2030']"
28,"['researchInterest802', 'researchInterest2448', 'researchInterest2359', 'researchInterest1832']"
29,"['researchInterest959', 'researchInterest796', 'researchInterest14', 'researchInterest672', 'researchInterest2574']"
30,"['researchInterest392', 'researchInterest1203', 'researchInterest370']"
31,['researchInterest1582']
32,"['researchInterest1582', 'researchInterest1231']"
33,"['researchInterest297', 'researchInterest1557', 'researchInterest1074', 'researchInterest190', 'researchInterest606']"
34,"['researchInterest267', 'researchInterest2208', 'researchInterest407', 'researchInterest137', 'researchInterest1240']"
35,"['researchInterest14', 'researchInterest266', 'researchInterest2290']"
36,"['researchInterest2717', 'researchInterest2423', 'researchInterest133', 'researchInterest648', 'researchInterest1161']"
37,"['researchInterest1950', 'researchInterest2588', 'researchInterest2089']"
38,"['researchInterest371', 'researchInterest2155', 'researchInterest1170', 'researchInterest626', 'researchInterest919', 'researchInterest1006']"
39,"['researchInterest1981', 'researchInterest1756']"
40,['researchInterest2716']
41,"['researchInterest2551', 'researchInterest1267', 'researchInterest1688', 'researchInterest2834']"
42,"['researchInterest2334', 'researchInterest2543', 'researchInterest793']"
43,"['researchInterest299', 'researchInterest1392', 'researchInterest1227']"
44,"['researchInterest2001', 'researchInterest338', 'researchInterest2883', 'researchInterest573']"
45,"['researchInterest1302', 'researchInterest734', 'researchInterest189', 'researchInterest1751']"
46,"['researchInterest1006', 'researchInterest457', 'researchInterest1407', 'researchInterest1751']"
47,"['researchInterest2813', 'researchInterest1636', 'researchInterest2649', 'researchInterest2020', 'researchInterest2052', 'researchInterest672']"
48,"['researchInterest1409', 'researchInterest963', 'researchInterest856', 'researchInterest726', 'researchInterest1978', 'researchInterest770', 'researchInterest1121']"
49,"['researchInterest2320', 'researchInterest1898', 'researchInterest2722', 'researchInterest1529', 'researchInterest668']"
50,"['researchInterest565', 'researchInterest568', 'researchInterest2241', 'researchInterest2580']"
51,"['researchInterest2341', 'researchInterest334', 'researchInterest243', 'researchInterest485', 'researchInterest2843']"
52,"['researchInterest1311', 'researchInterest2826', 'researchInterest998', 'researchInterest2226', 'researchInterest1807']"
53,"['researchInterest591', 'researchInterest1253', 'researchInterest2289', 'researchInterest444', 'researchInterest1425', 'researchInterest1693', 'researchInterest2125', 'researchInterest318']"
54,"['researchInterest992', 'researchInterest17', 'researchInterest1029', 'researchInterest2574', 'researchInterest460', 'researchInterest570']"
55,"['researchInterest1003', 'researchInterest2325', 'researchInterest1979']"
56,"['researchInterest2574', 'researchInterest2625', 'researchInterest1606']"
57,"['researchInterest2072', 'researchInterest2223']"
58,['researchInterest2451']
59,"['researchInterest1170', 'researchInterest626', 'researchInterest1866']"
60,"['researchInterest83', 'researchInterest2574', 'researchInterest903', 'researchInterest14']"
